아자파, 98, 144
라타아, 66, 169
나마바, 45, 189
하하아, 84, 142
자사바, 54, 187
카가마, 54, 195
타마아, 84, 153
사가타, 46, 174
라가자, 43, 158
다파파, 83, 159
가타파, 44, 179
다파다, 90, 162
나가아, 82, 169
라하사, 69, 143
마다하, 66, 175
아라카, 52, 162
아사나, 91, 150
가차라, 67, 182
카다타, 45, 164
차파카, 80, 188
하카가, 64, 197
다하파, 49, 183
바마바, 58, 162
마가자, 62, 181
사카아, 40, 189
차다카, 77, 171
바자다, 81, 193
라다자, 91, 158
카마마, 43, 173
차라바, 80, 156
마사가, 99, 176
바아자, 90, 163
사타아, 73, 187
타타사, 97, 197
사자가, 61, 191
라자파, 41, 150
차파하, 94, 199
마차아, 48, 180
바타자, 53, 162
카다바, 52, 189
하타타, 94, 187
바바가, 53, 181
차마차, 57, 145
가카사, 69, 159
사가아, 46, 172
바하라, 54, 166
하라자, 86, 161
사차차, 46, 165
카하자, 99, 147
바라차, 74, 185
마차다, 52, 140
나바하, 88, 187
마카바, 77, 194
하파마, 97, 178
파카마, 48, 191
가나라, 70, 175
라자사, 74, 190
차나파, 72, 154
카자가, 67, 191
자하카, 68, 149
마나하, 71, 143
바카파, 69, 190
나마라, 58, 173
아라아, 76, 168
다사카, 74, 189
타라하, 65, 141
차마아, 74, 154
바바카, 61, 178
아나파, 60, 144
파나다, 70, 163
차아사, 84, 179
아마타, 73, 184
다카차, 55, 140
가사다, 77, 159
가나타, 70, 199
사나바, 87, 146
라바사, 95, 182
하타자, 44, 147
라아하, 71, 181
나나아, 64, 143
마바나, 41, 174
파라파, 67, 183
가사라, 77, 167
라아나, 47, 143
차하타, 93, 155
다자차, 59, 152
바다차, 83, 147
가카가, 58, 167
파타하, 82, 193
나라다, 70, 146
마바나, 95, 153
사파파, 72, 180
자가자, 59, 195
바라하, 70, 198
라다파, 62, 177
카카라, 81, 158
카바차, 87, 168
라파아, 73, 174
아가하, 64, 199
아다마, 52, 190
하가사, 58, 176
마나파, 91, 167
가하바, 98, 197
아마가, 85, 188
카하자, 53, 173
라나파, 96, 183
아타아, 70, 166
다다자, 85, 172
바가나, 74, 153
가차사, 44, 153
카라마, 55, 173
다라나, 51, 140
차가나, 68, 188
사하파, 72, 168
가자자, 98, 196
자나바, 82, 169
아바바, 44, 190
자하차, 58, 156
나바카, 91, 166
파하카, 43, 162
라타차, 80, 173
다사라, 64, 147
라가가, 59, 177
마바자, 42, 158
하나아, 82, 184
사차라, 51, 167
카사자, 83, 171
아사자, 63, 180
자파나, 54, 175
사타라, 61, 186
타타마, 59, 174
타하사, 99, 199
카나다, 45, 189
카아다, 78, 170
카나파, 74, 151
사자마, 53, 178
마파사, 76, 186
마다자, 87, 175
카하카, 75, 198
사아하, 48, 187
차나하, 60, 160
파가자, 73, 140
차자마, 87, 144
라라아, 96, 151
마가파, 83, 166
다가사, 43, 156
가타카, 85, 150
나다타, 55, 194
차사가, 88, 162
카가카, 49, 144
바바가, 72, 144
나마하, 76, 152
나가타, 53, 149
마카라, 81, 188
하파파, 52, 186
파나사, 90, 154
바가나, 99, 194
라하카, 80, 185
사아마, 98, 180
아자바, 93, 158
파차사, 50, 166
마아하, 80, 177
자가차, 43, 192
라바나, 52, 148
다사카, 84, 186
타나파, 95, 141
카파가, 63, 155
사바자, 47, 182
아파카, 56, 149
아카다, 54, 179
다나카, 91, 169
사아자, 74, 145
카아아, 50, 187
마나나, 58, 187
라나바, 71, 186
나타카, 88, 157
마나차, 88, 160
가타마, 52, 155
나다자, 45, 175
마가아, 61, 167
파자카, 87, 180
자파나, 52, 196
다가바, 89, 161
차다파, 92, 166
차타다, 42, 163
다바카, 75, 199
파마나, 40, 146
아자라, 74, 149
파차하, 48, 183
아하사, 48, 166
라바마, 64, 153
다카라, 86, 189
하바타, 87, 153
아하마, 85, 144
바사사, 91, 161
아하가, 43, 153
라사차, 56, 177
하차타, 42, 158
가파차, 79, 169
자나카, 90, 192
파사마, 57, 146
사가파, 88, 169
바파차, 55, 143
마마타, 76, 169
가타차, 89, 183
다마아, 49, 174
파가하, 51, 177
타바가, 62, 182
아라다, 82, 160
아하가, 52, 198
카아파, 79, 146
라나카, 53, 145
바아하, 53, 160
타차파, 47, 179
아나타, 84, 192
바바카, 74, 167
카아파, 87, 184
자타다, 91, 180
차바사, 98, 152
사타타, 94, 142
자사바, 65, 197
파바나, 40, 185
하다카, 71, 144
나다다, 52, 160
카가자, 69, 172
아마카, 71, 193
파다카, 53, 185
라다아, 59, 145
차자차, 61, 177
자자아, 61, 163
타라타, 76, 199
나타파, 93, 179
나파자, 81, 144
하가카, 73, 176
사카카, 88, 155
마차가, 89, 153
라하다, 40, 146
다바아, 66, 189
마바파, 54, 171
하다라, 70, 153
타아타, 75, 170
차아카, 41, 140
파자타, 48, 197
가파가, 97, 176
카나차, 80, 175
사나가, 55, 179
카가타, 49, 192
파아나, 42, 178
다나가, 86, 141
카자바, 44, 173
가라아, 79, 168
차사나, 59, 173
가하아, 42, 187
차파차, 43, 170
타차바, 69, 179
다타바, 79, 169
카파가, 98, 181
나가가, 86, 185
차라파, 82, 164
파나하, 51, 171
차차파, 87, 158
타마마, 79, 154
가하사, 58, 191
마마사, 59, 145
가바자, 60, 191
아다다, 42, 188
타가자, 52, 187
자파하, 59, 144
하라타, 56, 165
가파파, 82, 181
라아라, 57, 161
아타바, 78, 151
하파타, 96, 143
다자다, 96, 193
라하바, 64, 147
파하자, 56, 192
하카다, 73, 154
파가마, 64, 153
가라타, 99, 171
라차가, 41, 161
아카카, 68, 177
사라사, 70, 160
아파가, 67, 148
가차타, 94, 186
가사파, 69, 162
사아바, 45, 149
다카마, 89, 170
마파나, 94, 167
바가라, 94, 163
마하타, 61, 174
나마자, 53, 165
아라바, 40, 157
라카차, 47, 179
하차하, 73, 164
라자차, 81, 144
아마아, 78, 179
타다카, 71, 142
나카자, 67, 170
나아파, 98, 180
자마하, 51, 151
마사바, 66, 151
사아마, 96, 162
타바나, 48, 184
바라마, 93, 149
바차사, 57, 156
차타하, 57, 158
하하라, 62, 160
하타카, 99, 168
라마하, 99, 182
바자사, 95, 181
자차사, 96, 198
라마사, 42, 142
다마다, 55, 183
라나차, 42, 172
바하마, 90, 162
타가차, 92, 199
라타사, 58, 194
카가타, 52, 162
바하라, 66, 144
라바사, 64, 165
타하차, 45, 151
타라가, 50, 181
카다다, 72, 174
바타카, 70, 183
아마하, 89, 166
아아가, 96, 151
차라라, 40, 182
하파라, 95, 191
다사하, 46, 189
아가파, 98, 184
다가차, 40, 184
나하마, 89, 171
라타다, 45, 162
카자다, 59, 199
아차차, 41, 166
나가타, 41, 176
카파파, 80, 182
자사타, 84, 160
마하다, 47, 149
하라타, 86, 172
아파가, 98, 188
마가타, 71, 153
가카마, 74, 187
타가사, 61, 175
하타마, 78, 181
아나아, 58, 171
나가자, 54, 164
타자나, 40, 159
하자나, 68, 174
하하하, 93, 146
하라마, 97, 173
차차타, 71, 198
파사가, 66, 143
가다가, 40, 197
자다바, 89, 151
아마라, 87, 143
다바가, 92, 159
하차마, 87, 156
타자타, 61, 148
라바가, 68, 184
마차아, 92, 148
가아라, 86, 159
차카다, 40, 183
파타자, 82, 188
가카나, 97, 170
사나라, 88, 167
다사하, 88, 163
라사라, 59, 187
차하나, 82, 156
다바라, 67, 170
다타다, 51, 175
자다자, 41, 170
하하라, 78, 177
파다사, 92, 145
파바마, 64, 183
다차나, 69, 147
자라타, 65, 174
바라마, 86, 159
라차사, 76, 191
다하타, 54, 154
마다파, 69, 166
자나나, 46, 174
파차차, 91, 194
나차아, 75, 164
라자나, 72, 179
카파파, 58, 143
타바타, 94, 198
하차나, 47, 171
하아마, 55, 143
파카하, 92, 159
가나사, 96, 197
카자바, 68, 167
차하파, 68, 175
라타카, 79, 178
라카다, 56, 169
자라마, 40, 163
아사타, 78, 185
아카다, 69, 166
하마마, 49, 149
마라마, 40, 197
타타사, 60, 140
파다파, 70, 182
라자차, 73, 161
하파가, 63, 150
자파마, 70, 180
라마자, 51, 146
카자나, 83, 142
타아다, 41, 166
카파차, 49, 170
아자바, 43, 189
가가파, 65, 180
바아차, 66, 178
가다차, 43, 179
마카하, 54, 171
바파다, 55, 157
카카하, 69, 175
다차하, 80, 166
차파가, 47, 175
바타라, 89, 155
라타나, 45, 190
